"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 11 14:47:20 CET 2023","Wed Jan 11 14:47:21 CET 2023","822","chromium","example.spec.js","","","","get started link",""
"passed","Wed Jan 11 14:47:16 CET 2023","Wed Jan 11 14:47:20 CET 2023","4299","chromium","example.spec.js","","","","has title",""
