"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 10:53:16 GMT 2023","Fri Jan 13 10:53:17 GMT 2023","952","chromium","example.spec.js","","","","has title",""
"passed","Fri Jan 13 10:53:17 GMT 2023","Fri Jan 13 10:53:18 GMT 2023","826","chromium","example.spec.js","","","","get started link",""
